Kernel-Size,Dataset,Mean-Val-Accuracy
KernelSize=2,CBF,0.9333333333
KernelSize=2,Coffee,0.9283950617
KernelSize=2,DistalPhalanxTW,0.7574658038
KernelSize=2,ECG5000,0.9473542874
KernelSize=2,ECGFiveDays,0.8154761905
KernelSize=2,FaceAll,0.8143548068
KernelSize=2,GunPoint,0.9738562092
KernelSize=2,InsectWingbeatSound,0.4955777696
KernelSize=2,MiddlePhalanxOutlineCorrect,0.7061111111
KernelSize=2,NonInvasiveFetalECGThorax2,0.7961111111
KernelSize=2,OliveOil,0.7333333333
KernelSize=2,Plane,0.9904761905
KernelSize=2,ProximalPhalanxTW,0.7807952718
KernelSize=2,ShapeletSim,0.4682539683
KernelSize=2,Trace,1
KernelSize=2,TwoPatterns,0.8483553414
KernelSize=2,UWaveGestureLibraryAll,0.8910100534
KernelSize=2,UWaveGestureLibraryX,0.7578405772
KernelSize=2,UWaveGestureLibraryY,0.7090837218
KernelSize=2,UWaveGestureLibraryZ,0.7288076836
KernelSize=2,CinCECGTorso,0.6367521368
KernelSize=2,Earthquakes,0.7607688166
KernelSize=2,Ham,0.534367701
KernelSize=2,Herring,0.4797979798
KernelSize=2,MedicalImages,0.6640419948
KernelSize=2,Phoneme,0.1775778126
KernelSize=2,ScreenType,0.3573333333
KernelSize=2,WordSynonyms,0.5355805243
KernelSize=2,Worms,0.6410746812
KernelSize=3,CBF,0.9
KernelSize=3,Coffee,0.962962963
KernelSize=3,DistalPhalanxTW,0.7700220701
KernelSize=3,ECG5000,0.9473502794
KernelSize=3,ECGFiveDays,0.7301587302
KernelSize=3,FaceAll,0.8417284802
KernelSize=3,GunPoint,0.9803921569
KernelSize=3,InsectWingbeatSound,0.4999794315
KernelSize=3,MiddlePhalanxOutlineCorrect,0.7405555556
KernelSize=3,NonInvasiveFetalECGThorax2,0.8027777778
KernelSize=3,OliveOil,0.7888888889
KernelSize=3,Plane,0.9936507937
KernelSize=3,ProximalPhalanxTW,0.7658387262
KernelSize=3,ShapeletSim,0.6375661376
KernelSize=3,Trace,1
KernelSize=3,TwoPatterns,0.8426670183
KernelSize=3,UWaveGestureLibraryAll,0.9025473926
KernelSize=3,UWaveGestureLibraryX,0.7753174265
KernelSize=3,UWaveGestureLibraryY,0.6882436858
KernelSize=3,UWaveGestureLibraryZ,0.7321534122
KernelSize=3,CinCECGTorso,0.65995116
KernelSize=3,Earthquakes,0.7516057075
KernelSize=3,Ham,0.5985985986
KernelSize=3,Herring,0.4846079846
KernelSize=3,MedicalImages,0.6517935258
KernelSize=3,Phoneme,0.180707703
KernelSize=3,ScreenType,0.36
KernelSize=3,WordSynonyms,0.5355805243
KernelSize=3,Worms,0.6725865209
KernelSize=5,CBF,0.9
KernelSize=5,Coffee,0.962962963
KernelSize=5,DistalPhalanxTW,0.751673961
KernelSize=5,ECG5000,0.9480116073
KernelSize=5,ECGFiveDays,0.8194444444
KernelSize=5,FaceAll,0.8613746574
KernelSize=5,GunPoint,0.9607843137
KernelSize=5,InsectWingbeatSound,0.4650540952
KernelSize=5,MiddlePhalanxOutlineCorrect,0.7177777778
KernelSize=5,NonInvasiveFetalECGThorax2,0.7533333333
KernelSize=5,OliveOil,0.7
KernelSize=5,Plane,0.9968253968
KernelSize=5,ProximalPhalanxTW,0.7724472874
KernelSize=5,ShapeletSim,0.5185185185
KernelSize=5,Trace,1
KernelSize=5,TwoPatterns,0.8596750443
KernelSize=5,UWaveGestureLibraryAll,0.9044016969
KernelSize=5,UWaveGestureLibraryX,0.7704827676
KernelSize=5,UWaveGestureLibraryY,0.7027489095
KernelSize=5,UWaveGestureLibraryZ,0.7302754147
KernelSize=5,CinCECGTorso,0.6623931624
KernelSize=5,Earthquakes,0.7205492096
KernelSize=5,Ham,0.6172839506
KernelSize=5,Herring,0.4538239538
KernelSize=5,MedicalImages,0.6421697288
KernelSize=5,Phoneme,0.1900973744
KernelSize=5,ScreenType,0.368
KernelSize=5,WordSynonyms,0.531835206
KernelSize=5,Worms,0.6669095325
