Num-Conv-Layers,Dataset,Mean-Val-Accuracy
NConvLayers=1,CBF,0.9222222222
NConvLayers=1,Coffee,1
NConvLayers=1,DistalPhalanxTW,0.7383259143
NConvLayers=1,ECG5000,0.9480156154
NConvLayers=1,ECGFiveDays,0.8611111111
NConvLayers=1,FaceAll,0.8768743731
NConvLayers=1,GunPoint,0.9673202614
NConvLayers=1,InsectWingbeatSound,0.4530626517
NConvLayers=1,MiddlePhalanxOutlineCorrect,0.7255555556
NConvLayers=1,NonInvasiveFetalECGThorax2,0.8725925926
NConvLayers=1,OliveOil,0.7777777778
NConvLayers=1,Plane,0.9904761905
NConvLayers=1,ProximalPhalanxTW,0.7683138194
NConvLayers=1,ShapeletSim,0.5608465608
NConvLayers=1,Trace,1
NConvLayers=1,TwoPatterns,0.8616630603
NConvLayers=1,UWaveGestureLibraryAll,0.9259824571
NConvLayers=1,UWaveGestureLibraryX,0.7875979838
NConvLayers=1,UWaveGestureLibraryY,0.7224816004
NConvLayers=1,UWaveGestureLibraryZ,0.7276716572
NConvLayers=1,CinCECGTorso,0.7039072039
NConvLayers=1,Earthquakes,0.7039536941
NConvLayers=1,Ham,0.5739906573
NConvLayers=1,Herring,0.4644059644
NConvLayers=1,MedicalImages,0.6115485564
NConvLayers=1,Phoneme,0.1387584768
NConvLayers=1,ScreenType,0.3591111111
NConvLayers=1,WordSynonyms,0.5218476904
NConvLayers=1,Worms,0.650394657
NConvLayers=2,CBF,0.9333333333
NConvLayers=2,Coffee,0.9024691358
NConvLayers=2,DistalPhalanxTW,0.7641678824
NConvLayers=2,ECG5000,0.9473582955
NConvLayers=2,ECGFiveDays,0.8253968254
NConvLayers=2,FaceAll,0.857847929
NConvLayers=2,GunPoint,0.9803921569
NConvLayers=2,InsectWingbeatSound,0.4833806409
NConvLayers=2,MiddlePhalanxOutlineCorrect,0.7333333333
NConvLayers=2,NonInvasiveFetalECGThorax2,0.8377777778
NConvLayers=2,OliveOil,0.8333333333
NConvLayers=2,Plane,0.9936507937
NConvLayers=2,ProximalPhalanxTW,0.7691118343
NConvLayers=2,ShapeletSim,0.4708994709
NConvLayers=2,Trace,1
NConvLayers=2,TwoPatterns,0.8646900393
NConvLayers=2,UWaveGestureLibraryAll,0.909984562
NConvLayers=2,UWaveGestureLibraryX,0.767508648
NConvLayers=2,UWaveGestureLibraryY,0.7031230126
NConvLayers=2,UWaveGestureLibraryZ,0.7429512743
NConvLayers=2,CinCECGTorso,0.6446886447
NConvLayers=2,Earthquakes,0.7402022999
NConvLayers=2,Ham,0.5799966633
NConvLayers=2,Herring,0.4694564695
NConvLayers=2,MedicalImages,0.6771653543
NConvLayers=2,Phoneme,0.1915536428
NConvLayers=2,ScreenType,0.3706666667
NConvLayers=2,WordSynonyms,0.5493133583
NConvLayers=2,Worms,0.6742258652
NConvLayers=3,CBF,0.8777777778
NConvLayers=3,Coffee,0.9518518519
NConvLayers=3,DistalPhalanxTW,0.7766680383
NConvLayers=3,ECG5000,0.9473422633
NConvLayers=3,ECGFiveDays,0.6785714286
NConvLayers=3,FaceAll,0.7827356423
NConvLayers=3,GunPoint,0.9673202614
NConvLayers=3,InsectWingbeatSound,0.5241680036
NConvLayers=3,MiddlePhalanxOutlineCorrect,0.7055555556
NConvLayers=3,NonInvasiveFetalECGThorax2,0.6418518519
NConvLayers=3,OliveOil,0.6111111111
NConvLayers=3,Plane,0.9968253968
NConvLayers=3,ProximalPhalanxTW,0.7816556316
NConvLayers=3,ShapeletSim,0.5925925926
NConvLayers=3,Trace,1
NConvLayers=3,TwoPatterns,0.8243443044
NConvLayers=3,UWaveGestureLibraryAll,0.8619921239
NConvLayers=3,UWaveGestureLibraryX,0.7485341394
NConvLayers=3,UWaveGestureLibraryY,0.6744717041
NConvLayers=3,UWaveGestureLibraryZ,0.7206135789
NConvLayers=3,CinCECGTorso,0.6105006105
NConvLayers=3,Earthquakes,0.7887677397
NConvLayers=3,Ham,0.5962629296
NConvLayers=3,Herring,0.4843674844
NConvLayers=3,MedicalImages,0.6692913386
NConvLayers=3,Phoneme,0.2180707703
NConvLayers=3,ScreenType,0.3555555556
NConvLayers=3,WordSynonyms,0.531835206
NConvLayers=3,Worms,0.6559502125
