Kernel,Dataset,Mean-Val-Accuracy
linear,CBF,1
linear,Coffee,1
linear,DistalPhalanxTW,0.8
linear,ECG5000,0.952
linear,ECGFiveDays,1
linear,FaceAll,0.9589285714
linear,GunPoint,0.98
linear,InsectWingbeatSound,0.5613636364
linear,MiddlePhalanxOutlineCorrect,0.8391666667
linear,NonInvasiveFetalECGThorax2,0.9551388889
linear,OliveOil,0.9
linear,Plane,1
linear,ProximalPhalanxTW,0.840625
linear,ShapeletSim,1
linear,Trace,1
linear,TwoPatterns,1
linear,UWaveGestureLibraryAll,0.97097455
linear,UWaveGestureLibraryX,0.8390130354
linear,UWaveGestureLibraryY,0.8066278709
linear,UWaveGestureLibraryZ,0.816672874
linear,CinCECGTorso,0.8
linear,Earthquakes,0.7438461538
linear,Ham,0.7718614719
linear,Herring,0.5641025641
linear,MedicalImages,0.8220437457
linear,Phoneme,0.2854928018
linear,ScreenType,0.3753333333
linear,WordSynonyms,0.722851153
linear,Worms,0.7425675676
rbf,CBF,0.4
rbf,Coffee,0.6933333333
rbf,DistalPhalanxTW,0.5325
rbf,ECG5000,0.584
rbf,ECGFiveDays,0.61
rbf,FaceAll,0.7732142857
rbf,GunPoint,0.6
rbf,InsectWingbeatSound,0.4636363636
rbf,MiddlePhalanxOutlineCorrect,0.6466666667
rbf,NonInvasiveFetalECGThorax2,0.03111111111
rbf,OliveOil,0.4333333333
rbf,Plane,0.1904761905
rbf,ProximalPhalanxTW,0.45
rbf,ShapeletSim,1
rbf,Trace,0.31
rbf,TwoPatterns,0.271
rbf,UWaveGestureLibraryAll,0.1417442582
rbf,UWaveGestureLibraryX,0.1593156425
rbf,UWaveGestureLibraryY,0.1741092489
rbf,UWaveGestureLibraryZ,0.197261018
rbf,CinCECGTorso,0.3
rbf,Earthquakes,0.8199038462
rbf,Ham,0.5229437229
rbf,Herring,0.608974359
rbf,MedicalImages,0.532809296
rbf,Phoneme,0.1121816168
rbf,ScreenType,0.4
rbf,WordSynonyms,0.2247379455
rbf,Worms,0.4198198198
poly,CBF,0.4
poly,Coffee,0.6933333333
poly,DistalPhalanxTW,0.58375
poly,ECG5000,0.584
poly,ECGFiveDays,0.61
poly,FaceAll,0.7517857143
poly,GunPoint,0.6
poly,InsectWingbeatSound,0.45
poly,MiddlePhalanxOutlineCorrect,0.6466666667
poly,NonInvasiveFetalECGThorax2,0.03111111111
poly,OliveOil,0.4333333333
poly,Plane,0.1904761905
poly,ProximalPhalanxTW,0.516875
poly,ShapeletSim,1
poly,Trace,0.31
poly,TwoPatterns,0.32775
poly,UWaveGestureLibraryAll,0.1548401614
poly,UWaveGestureLibraryX,0.1969723774
poly,UWaveGestureLibraryY,0.1947532588
poly,UWaveGestureLibraryZ,0.2430183116
poly,CinCECGTorso,0.3
poly,Earthquakes,0.8199038462
poly,Ham,0.5229437229
poly,Herring,0.608974359
poly,MedicalImages,0.532809296
poly,Phoneme,0.1121816168
poly,ScreenType,0.4133333333
poly,WordSynonyms,0.2247379455
poly,Worms,0.4198198198
sigmoid,CBF,0.4
sigmoid,Coffee,0.6933333333
sigmoid,DistalPhalanxTW,0.5325
sigmoid,ECG5000,0.584
sigmoid,ECGFiveDays,0.61
sigmoid,FaceAll,0.8
sigmoid,GunPoint,0.6
sigmoid,InsectWingbeatSound,0.4727272727
sigmoid,MiddlePhalanxOutlineCorrect,0.6466666667
sigmoid,NonInvasiveFetalECGThorax2,0.03111111111
sigmoid,OliveOil,0.4333333333
sigmoid,Plane,0.1904761905
sigmoid,ProximalPhalanxTW,0.45
sigmoid,ShapeletSim,1
sigmoid,Trace,0.31
sigmoid,TwoPatterns,0.271
sigmoid,UWaveGestureLibraryAll,0.1417442582
sigmoid,UWaveGestureLibraryX,0.1417442582
sigmoid,UWaveGestureLibraryY,0.1417442582
sigmoid,UWaveGestureLibraryZ,0.1417442582
sigmoid,CinCECGTorso,0.3
sigmoid,Earthquakes,0.8199038462
sigmoid,Ham,0.5229437229
sigmoid,Herring,0.608974359
sigmoid,MedicalImages,0.532809296
sigmoid,Phoneme,0.1121816168
sigmoid,ScreenType,0.4026666667
sigmoid,WordSynonyms,0.2247379455
sigmoid,Worms,0.4198198198
