Kernel-Size,Dataset,Mean-Val-Accuracy
KernelSize=2,CBF,0.9777777778
KernelSize=2,Coffee,1
KernelSize=2,DistalPhalanxTW,0.7416925398
KernelSize=2,ECG5000,0.9460316315
KernelSize=2,ECGFiveDays,1
KernelSize=2,FaceAll,0.8769063181
KernelSize=2,GunPoint,0.9869281046
KernelSize=2,InsectWingbeatSound,0.4667818503
KernelSize=2,MiddlePhalanxOutlineCorrect,0.7494444444
KernelSize=2,NonInvasiveFetalECGThorax2,0.907962963
KernelSize=2,OliveOil,0.5444444444
KernelSize=2,Plane,0.9968253968
KernelSize=2,ProximalPhalanxTW,0.7933141311
KernelSize=2,ShapeletSim,0.5714285714
KernelSize=2,Trace,0.8888888889
KernelSize=2,TwoPatterns,0.996999994
KernelSize=2,UWaveGestureLibraryAll,0.9334084034
KernelSize=2,UWaveGestureLibraryX,0.7875855137
KernelSize=2,UWaveGestureLibraryY,0.7314101941
KernelSize=2,UWaveGestureLibraryZ,0.7302966139
KernelSize=2,CinCECGTorso,0.7698412698
KernelSize=2,Earthquakes,0.614918657
KernelSize=2,Ham,0.6422255589
KernelSize=2,Herring,0.5627705628
KernelSize=2,MedicalImages,0.6946631671
KernelSize=2,Phoneme,0.1231090245
KernelSize=2,ScreenType,0.4026666667
KernelSize=2,WordSynonyms,0.6354556804
KernelSize=2,Worms,0.575136612
KernelSize=3,CBF,0.9777777778
KernelSize=3,Coffee,1
KernelSize=3,DistalPhalanxTW,0.7517051335
KernelSize=3,ECG5000,0.9460316315
KernelSize=3,ECGFiveDays,1
KernelSize=3,FaceAll,0.9048645851
KernelSize=3,GunPoint,0.9934640523
KernelSize=3,InsectWingbeatSound,0.4563947509
KernelSize=3,MiddlePhalanxOutlineCorrect,0.7566666667
KernelSize=3,NonInvasiveFetalECGThorax2,0.8675925926
KernelSize=3,OliveOil,0.5777777778
KernelSize=3,Plane,1
KernelSize=3,ProximalPhalanxTW,0.7891494906
KernelSize=3,ShapeletSim,0.6507936508
KernelSize=3,Trace,1
KernelSize=3,TwoPatterns,0.997667328
KernelSize=3,UWaveGestureLibraryAll,0.9345294656
KernelSize=3,UWaveGestureLibraryX,0.7939115969
KernelSize=3,UWaveGestureLibraryY,0.7269434032
KernelSize=3,UWaveGestureLibraryZ,0.725101569
KernelSize=3,CinCECGTorso,0.7551892552
KernelSize=3,Earthquakes,0.6159666936
KernelSize=3,Ham,0.6997831164
KernelSize=3,Herring,0.6041366041
KernelSize=3,MedicalImages,0.7156605424
KernelSize=3,Phoneme,0.1183924535
KernelSize=3,ScreenType,0.3928888889
KernelSize=3,WordSynonyms,0.6229712859
KernelSize=3,Worms,0.5934729812
