Num-Conv-Layers,Dataset,Mean-Val-Accuracy
NConvLayers=1,CBF,0.9666666667
NConvLayers=1,Coffee,1
NConvLayers=1,DistalPhalanxTW,0.7562750159
NConvLayers=1,ECG5000,0.9440276074
NConvLayers=1,ECGFiveDays,1
NConvLayers=1,FaceAll,0.9107967723
NConvLayers=1,GunPoint,0.9901960784
NConvLayers=1,InsectWingbeatSound,0.4524558805
NConvLayers=1,MiddlePhalanxOutlineCorrect,0.7525
NConvLayers=1,NonInvasiveFetalECGThorax2,0.9188888889
NConvLayers=1,OliveOil,0.5166666667
NConvLayers=1,Plane,1
NConvLayers=1,ProximalPhalanxTW,0.7824692328
NConvLayers=1,ShapeletSim,0.626984127
NConvLayers=1,Trace,0.8333333333
NConvLayers=1,TwoPatterns,0.9975004945
NConvLayers=1,UWaveGestureLibraryAll,0.9408524313
NConvLayers=1,UWaveGestureLibraryX,0.7968975631
NConvLayers=1,UWaveGestureLibraryY,0.7304755598
NConvLayers=1,UWaveGestureLibraryZ,0.7187680037
NConvLayers=1,CinCECGTorso,0.7793040293
NConvLayers=1,Earthquakes,0.5900109611
NConvLayers=1,Ham,0.6876876877
NConvLayers=1,Herring,0.5468975469
NConvLayers=1,MedicalImages,0.6955380577
NConvLayers=1,Phoneme,0.1286515389
NConvLayers=1,ScreenType,0.3773333333
NConvLayers=1,WordSynonyms,0.6479400749
NConvLayers=1,Worms,0.5806921676
NConvLayers=2,CBF,1
NConvLayers=2,Coffee,1
NConvLayers=2,DistalPhalanxTW,0.7425279617
NConvLayers=2,ECG5000,0.9450376356
NConvLayers=2,ECGFiveDays,1
NConvLayers=2,FaceAll,0.8680112319
NConvLayers=2,GunPoint,0.9901960784
NConvLayers=2,InsectWingbeatSound,0.4526409972
NConvLayers=2,MiddlePhalanxOutlineCorrect,0.755
NConvLayers=2,NonInvasiveFetalECGThorax2,0.9080555556
NConvLayers=2,OliveOil,0.6166666667
NConvLayers=2,Plane,1
NConvLayers=2,ProximalPhalanxTW,0.7949631542
NConvLayers=2,ShapeletSim,0.6071428571
NConvLayers=2,Trace,1
NConvLayers=2,TwoPatterns,0.9964994935
NConvLayers=2,UWaveGestureLibraryAll,0.9330448999
NConvLayers=2,UWaveGestureLibraryX,0.7873990857
NConvLayers=2,UWaveGestureLibraryY,0.7276959739
NConvLayers=2,UWaveGestureLibraryZ,0.7265830172
NConvLayers=2,CinCECGTorso,0.7664835165
NConvLayers=2,Earthquakes,0.6023854852
NConvLayers=2,Ham,0.66504004
NConvLayers=2,Herring,0.5941558442
NConvLayers=2,MedicalImages,0.7020997375
NConvLayers=2,Phoneme,0.1214788732
NConvLayers=2,ScreenType,0.42
NConvLayers=2,WordSynonyms,0.6235955056
NConvLayers=2,Worms,0.5835154827
NConvLayers=3,CBF,0.9666666667
NConvLayers=3,Coffee,1
NConvLayers=3,DistalPhalanxTW,0.7412935323
NConvLayers=3,ECG5000,0.9490296515
NConvLayers=3,ECGFiveDays,1
NConvLayers=3,FaceAll,0.8938483507
NConvLayers=3,GunPoint,0.9901960784
NConvLayers=3,InsectWingbeatSound,0.4796680242
NConvLayers=3,MiddlePhalanxOutlineCorrect,0.7516666667
NConvLayers=3,NonInvasiveFetalECGThorax2,0.8363888889
NConvLayers=3,OliveOil,0.55
NConvLayers=3,Plane,0.9952380952
NConvLayers=3,ProximalPhalanxTW,0.7962630457
NConvLayers=3,ShapeletSim,0.5992063492
NConvLayers=3,Trace,1
NConvLayers=3,TwoPatterns,0.998000995
NConvLayers=3,UWaveGestureLibraryAll,0.9280094723
NConvLayers=3,UWaveGestureLibraryX,0.7879490172
NConvLayers=3,UWaveGestureLibraryY,0.7293588621
NConvLayers=3,UWaveGestureLibraryZ,0.7377462534
NConvLayers=3,CinCECGTorso,0.7417582418
NConvLayers=3,Earthquakes,0.6539315796
NConvLayers=3,Ham,0.6602852853
NConvLayers=3,Herring,0.6093073593
NConvLayers=3,MedicalImages,0.717847769
NConvLayers=3,Phoneme,0.1121218049
NConvLayers=3,ScreenType,0.396
NConvLayers=3,WordSynonyms,0.6161048689
NConvLayers=3,Worms,0.5887067395
