Kernel,Dataset,Mean-Val-Accuracy
linear,CBF,1
linear,Coffee,1
linear,DistalPhalanxTW,0.795
linear,ECG5000,0.947
linear,ECGFiveDays,1
linear,FaceAll,0.9732142857
linear,GunPoint,1
linear,InsectWingbeatSound,0.5534090909
linear,MiddlePhalanxOutlineCorrect,0.83875
linear,NonInvasiveFetalECGThorax2,0.9552777778
linear,OliveOil,0.9
linear,Plane,1
linear,ProximalPhalanxTW,0.845625
linear,ShapeletSim,1
linear,Trace,1
linear,TwoPatterns,1
linear,UWaveGestureLibraryAll,0.9631781502
linear,UWaveGestureLibraryX,0.8292659839
linear,UWaveGestureLibraryY,0.7859807573
linear,UWaveGestureLibraryZ,0.7826256983
linear,CinCECGTorso,0.75
linear,Earthquakes,0.7871875
linear,Ham,0.8073593074
linear,Herring,0.6564102564
linear,MedicalImages,0.8070915926
linear,Phoneme,0.2661129568
linear,ScreenType,0.4306666667
linear,WordSynonyms,0.7191474493
linear,Worms,0.713963964
rbf,CBF,0.4
rbf,Coffee,0.76
rbf,DistalPhalanxTW,0.5325
rbf,ECG5000,0.671
rbf,ECGFiveDays,0.61
rbf,FaceAll,0.8205357143
rbf,GunPoint,0.54
rbf,InsectWingbeatSound,0.3909090909
rbf,MiddlePhalanxOutlineCorrect,0.6466666667
rbf,NonInvasiveFetalECGThorax2,0.03111111111
rbf,OliveOil,0.4333333333
rbf,Plane,0.1904761905
rbf,ProximalPhalanxTW,0.45
rbf,ShapeletSim,0.95
rbf,Trace,0.31
rbf,TwoPatterns,0.47975
rbf,UWaveGestureLibraryAll,0.1417442582
rbf,UWaveGestureLibraryX,0.1417442582
rbf,UWaveGestureLibraryY,0.1417442582
rbf,UWaveGestureLibraryZ,0.1417442582
rbf,CinCECGTorso,0.3
rbf,Earthquakes,0.8199038462
rbf,Ham,0.5229437229
rbf,Herring,0.608974359
rbf,MedicalImages,0.532809296
rbf,Phoneme,0.1180232558
rbf,ScreenType,0.3913333333
rbf,WordSynonyms,0.2247379455
rbf,Worms,0.4198198198
poly,CBF,0.55
poly,Coffee,0.76
poly,DistalPhalanxTW,0.54375
poly,ECG5000,0.7575
poly,ECGFiveDays,0.61
poly,FaceAll,0.8607142857
poly,GunPoint,0.54
poly,InsectWingbeatSound,0.3909090909
poly,MiddlePhalanxOutlineCorrect,0.6466666667
poly,NonInvasiveFetalECGThorax2,0.03111111111
poly,OliveOil,0.4333333333
poly,Plane,0.1904761905
poly,ProximalPhalanxTW,0.495625
poly,ShapeletSim,0.95
poly,Trace,0.31
poly,TwoPatterns,0.7465
poly,UWaveGestureLibraryAll,0.1417442582
poly,UWaveGestureLibraryX,0.1417442582
poly,UWaveGestureLibraryY,0.1417442582
poly,UWaveGestureLibraryZ,0.1417442582
poly,CinCECGTorso,0.3
poly,Earthquakes,0.8136658654
poly,Ham,0.5253246753
poly,Herring,0.608974359
poly,MedicalImages,0.537406015
poly,Phoneme,0.1659468439
poly,ScreenType,0.3673333333
poly,WordSynonyms,0.2247379455
poly,Worms,0.4198198198
sigmoid,CBF,0.4
sigmoid,Coffee,0.76
sigmoid,DistalPhalanxTW,0.5325
sigmoid,ECG5000,0.584
sigmoid,ECGFiveDays,0.61
sigmoid,FaceAll,0.7482142857
sigmoid,GunPoint,0.54
sigmoid,InsectWingbeatSound,0.4227272727
sigmoid,MiddlePhalanxOutlineCorrect,0.6466666667
sigmoid,NonInvasiveFetalECGThorax2,0.03111111111
sigmoid,OliveOil,0.4333333333
sigmoid,Plane,0.1904761905
sigmoid,ProximalPhalanxTW,0.45
sigmoid,ShapeletSim,0.95
sigmoid,Trace,0.31
sigmoid,TwoPatterns,0.271
sigmoid,UWaveGestureLibraryAll,0.1417442582
sigmoid,UWaveGestureLibraryX,0.1417442582
sigmoid,UWaveGestureLibraryY,0.1417442582
sigmoid,UWaveGestureLibraryZ,0.1417442582
sigmoid,CinCECGTorso,0.3
sigmoid,Earthquakes,0.8199038462
sigmoid,Ham,0.5229437229
sigmoid,Herring,0.608974359
sigmoid,MedicalImages,0.532809296
sigmoid,Phoneme,0.1121816168
sigmoid,ScreenType,0.3413333333
sigmoid,WordSynonyms,0.2247379455
sigmoid,Worms,0.4198198198
