mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.28006935119628906,0.011825234974882476,0.16264019012451172,0.003774291223198056,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.75,0.625,0.75,0.875,0.75,0.75,0.07905694150420949,1
0.30264792442321775,0.02285576566385915,0.17585225105285646,0.027559175517452062,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.75,0.625,0.75,0.875,0.75,0.75,0.07905694150420949,1
0.28260459899902346,0.01307094056169212,0.163985013961792,0.029008469518785284,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.75,0.625,0.75,0.875,0.75,0.75,0.07905694150420949,1
0.27855892181396485,0.02012526358320489,0.1551520347595215,0.03884444310055093,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.29856314659118655,0.04562997776250666,0.15460686683654784,0.016329253777322136,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.30829658508300783,0.022690554850443474,0.1486837387084961,0.02703438556404969,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.30504183769226073,0.04540191097996444,0.14789943695068358,0.019980423781052536,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.2835686683654785,0.04685892092744112,0.1520162582397461,0.020912186295081615,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.31903972625732424,0.051769694130819215,0.15061135292053224,0.032976393313385303,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
0.2990091800689697,0.027684651893704833,0.13913803100585936,0.024881776069531403,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.25,0.25,0.375,0.25,0.375,0.3,0.06123724356957945,13
