mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.413929144541423,0.03060267361898578,0.06562352180480957,0.0011680063166529101,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",1.0,1.0,1.0,1.0,0.0,1
7.059375286102295,0.12813748182517068,0.07809066772460938,0.005282237986052124,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.9,0.8888888888888888,0.7777777777777778,0.8555555555555555,0.055183942317597545,9
7.674457947413127,0.10510696151953781,0.08475597699483235,0.002820374979595758,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.9,0.8888888888888888,1.0,0.9296296296296296,0.0499656946786372,6
0.04287060101826986,0.001783579897981273,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
6.619802872339885,0.04618978951946052,0.06805912653605144,0.0022903307111549116,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",1.0,1.0,1.0,1.0,0.0,1
7.456509431203206,0.04825098773875318,0.0736549695332845,0.0009098045133968965,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",1.0,1.0,0.7777777777777778,0.9259259259259259,0.10475656017578482,7
7.983944018681844,0.15233511554162152,0.09409038225809734,0.008020350648320266,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",1.0,1.0,0.8888888888888888,0.9629629629629629,0.05237828008789243,4
0.05236554145812988,0.0025280308601028736,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
6.734626293182373,0.04944912198139537,0.06895192464192708,0.004696373610506742,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",1.0,1.0,1.0,1.0,0.0,1
7.391704161961873,0.045464901611264284,0.07079799969991048,0.002120756891383542,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",1.0,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.05237828008789243,7
7.816064675649007,0.09454868912570961,0.07602930068969727,0.0015237438021172198,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",1.0,0.8888888888888888,1.0,0.9629629629629629,0.05237828008789243,4
0.045091470082600914,0.0017392623997377302,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
