mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8034206867218017,0.029879160525345776,0.48093061447143554,0.015929601642579703,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.95,0.93,0.96,0.95,0.96,0.95,0.010954451150103291,1
1.7216942310333252,0.09439335813552989,0.3453526973724365,0.050733795767795055,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.95,0.93,0.96,0.95,0.96,0.95,0.010954451150103291,1
1.7024089813232421,0.07370521459566225,0.44452996253967286,0.030927649432553692,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.95,0.93,0.96,0.95,0.96,0.95,0.010954451150103291,1
3.7534828186035156,0.12410550075454227,1.9051724910736083,0.14989815414030888,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
3.5840296745300293,0.1518094339316196,1.980786180496216,0.11941034950815352,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.553222274780273,0.6138103642092627,1.987811517715454,0.15145568700989598,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.301311731338501,0.27199052565893894,0.8444594383239746,0.08498849050789883,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.674336767196655,0.18525102726487638,0.8812606811523438,0.1774133684045863,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
5.023804950714111,0.1311276435218972,1.0058990001678467,0.13981017539907,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.289786672592163,0.211010542377066,0.9571709632873535,0.10312422372467536,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.266916942596436,0.20437221373110878,1.0088320255279541,0.016364133609733433,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.1703719139099125,0.2589259754076686,0.9495761871337891,0.07541962138144581,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
1.8991650104522706,0.07540981503629124,0.5132524490356445,0.04262375509268079,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
1.852372407913208,0.06540019041416612,0.4890423774719238,0.030306316750594576,0.01,linear,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
1.7877240657806397,0.09400161942956484,0.5246346950531006,0.03398486841573457,0.01,linear,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
4.982759809494018,0.2092755244666211,1.9218213558197021,0.20462851610489086,0.01,rbf,0.001,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.718823671340942,0.37886393171754773,1.6119386196136474,0.27790566204885636,0.01,rbf,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
3.9999756813049316,0.3706134730162315,1.623596715927124,0.19269638041846454,0.01,rbf,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
3.969147777557373,0.15571891330671067,0.7846475601196289,0.13563677921894554,0.01,poly,0.001,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.225525999069214,0.2031087042021376,0.8728057861328125,0.09386067320678697,0.01,poly,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.41288800239563,0.1992242964970944,0.8833784580230712,0.09431689134112202,0.01,poly,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.198222637176514,0.10294776121805788,0.9169262409210205,0.06593998580723207,0.01,sigmoid,0.001,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.206923246383667,0.17582082199256896,0.9798804759979248,0.05140559805768268,0.01,sigmoid,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.139971017837524,0.08834785525875057,0.9236882209777832,0.059141383543234984,0.01,sigmoid,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
1.6679693698883056,0.08116821874741668,0.4613007068634033,0.04185062313387905,0.1,linear,0.001,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
1.4901484489440917,0.09549981055535578,0.42544965744018554,0.05575370015461283,0.1,linear,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
1.5553321838378906,0.043126984998201695,0.4635639667510986,0.032426063260468714,0.1,linear,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.94,0.93,0.96,0.94,0.96,0.9460000000000001,0.011999999999999981,4
4.1079624652862545,0.17771019285293174,1.4421042442321776,0.23164226318408856,0.1,rbf,0.001,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
4.01123194694519,0.14928336629951625,1.5046642780303956,0.06800593863728578,0.1,rbf,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
3.9887939453125,0.3153090581008449,1.5691689014434815,0.30121310761156156,0.1,rbf,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.59,0.59,0.58,0.58,0.58,0.584,0.004898979485566361,22
3.443265676498413,0.4456635528392462,0.6616874694824219,0.12914739945122636,0.1,poly,0.001,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.93,0.93,0.94,0.93,0.92,0.93,0.006324555320336729,19
3.4863693714141846,0.24750049660114917,0.7803856372833252,0.029169506882887067,0.1,poly,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.93,0.93,0.94,0.93,0.92,0.93,0.006324555320336729,19
3.677151679992676,0.13910005502269066,0.7324918270111084,0.05141269216223257,0.1,poly,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.93,0.93,0.94,0.93,0.92,0.93,0.006324555320336729,19
