mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17097029685974122,0.004053028410361176,0.08020095825195313,0.004114449083590079,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.14196500778198243,0.035886019680622265,0.06765980720520019,0.01863095698920804,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.09294805526733399,0.0007784154415889705,0.04539365768432617,0.0002616594277174117,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1017824649810791,0.009685035758811043,0.045569419860839844,0.0003182482782918464,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09495687484741211,0.00270988608498018,0.04557356834411621,0.00026716188963316165,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.0936197280883789,0.0002537186219795595,0.045874404907226565,0.00013995112917779617,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09417638778686524,0.0013480355690459612,0.04549217224121094,0.00024125062255825084,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09772958755493164,0.0034854953628451575,0.045670938491821286,0.0003305119773467801,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09350132942199707,0.0005447875905598929,0.045743465423583984,0.0002965815195504542,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09466662406921386,0.0016995564459633791,0.04599056243896484,8.498404751382347e-05,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09462924003601074,0.002013445769491059,0.04563660621643066,0.00021407085765683123,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09499669075012207,0.0023968662320297957,0.04576683044433594,0.0003546015805704853,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.6,0.6,0.6,0.75,0.5,0.61,0.08,13
0.09454360008239746,0.0017012249652082851,0.045629262924194336,0.000275863298490506,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
