mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5599558353424072,0.06868520101049273,0.07347249984741211,0.01971494451311671,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.7076923076923077,0.7846153846153846,0.734375,0.796875,0.765625,0.7578365384615384,0.032761733410115866,37
0.5072954654693603,0.07258983347392099,0.0939216136932373,0.01583108824779215,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.7076923076923077,0.7846153846153846,0.734375,0.796875,0.765625,0.7578365384615384,0.032761733410115866,37
0.3298468589782715,0.027859187435879642,0.06429944038391114,0.001031985708910109,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.7076923076923077,0.7846153846153846,0.734375,0.796875,0.765625,0.7578365384615384,0.032761733410115866,37
0.2405916213989258,0.026313555667641722,0.06827154159545898,0.0017245390559549733,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.22540745735168458,0.01708506010351901,0.06998395919799805,0.0032027821437239836,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.2405089855194092,0.010260627607803758,0.0696986198425293,0.0025400337866513193,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.2175889015197754,0.0067470125117599635,0.05805964469909668,0.002370620792342582,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.24657096862792968,0.021324616034769622,0.05872921943664551,0.0023914840545458532,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.2456754684448242,0.006459493460881186,0.06160426139831543,0.0027436123794303585,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.24988880157470703,0.015443733098899386,0.0591926097869873,0.0028538322302769344,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.22431411743164062,0.006857359515509171,0.05938262939453125,0.0030579017892688075,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.24472308158874512,0.015407271239594083,0.05856089591979981,0.002804325605593408,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.8153846153846154,0.8153846153846154,0.8125,0.828125,0.828125,0.819903846153846,0.006794682810627841,1
0.33182721138000487,0.020228410510908387,0.0662158489227295,0.002719338009271503,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.6923076923076923,0.7692307692307693,0.71875,0.75,0.765625,0.7391826923076923,0.029440982485374752,40
