mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.299732764561971,0.005561219759299468,0.06596636772155762,0.0011178476898685906,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.8,0.8,0.8,0.8000000000000002,1.1102230246251565e-16,3
7.288022597630818,0.03234225023710486,0.07772064208984375,0.003183948242639269,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.8,0.8,0.8,0.8000000000000002,1.1102230246251565e-16,3
8.073210080464682,0.12874611509584413,0.10438021024068196,0.0030333917291417946,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.6,0.7,0.5,0.6,0.08164965809277258,8
0.10606853167215984,0.08082496210641942,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
6.727396726608276,0.06159245198712093,0.07236107190450032,0.009645966237022695,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.6,0.8,0.9,0.7666666666666666,0.12472191289246473,5
7.459523359934489,0.09380247226817166,0.07452758153279622,0.0014029569221031212,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.9,0.9,0.8,0.8666666666666667,0.04714045207910316,1
8.162646691004435,0.077650477213333,0.08338157335917155,0.0020928006631016753,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.6,0.8,0.8,0.7333333333333334,0.09428090415820636,7
0.04930321375528971,0.004246102185584877,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
6.856706380844116,0.03427116681047214,0.06805888811747234,0.00020308788211651472,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",0.7,0.8,0.8,0.7666666666666666,0.047140452079103216,5
7.518754879633586,0.04150132239237278,0.06966352462768555,0.0014041579312234886,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",0.8,0.9,0.8,0.8333333333333334,0.04714045207910316,2
7.801656325658162,0.2955720468035419,0.0749494234720866,0.0013892478868887908,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",0.4,0.6,0.5,0.5,0.08164965809277258,9
0.0437773863474528,0.0016164652169986702,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
