mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7683427810668946,0.025326034320949382,0.6018892765045166,0.040879645613379714,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.875,0.8875,0.8375,0.8125,0.825,0.8474999999999999,0.02893959225697556,1
1.7469735145568848,0.03240008988512253,0.5716910362243652,0.04178917112473365,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.875,0.8875,0.8375,0.8125,0.825,0.8474999999999999,0.02893959225697556,1
1.7200899124145508,0.05150095725243268,0.6160930156707763,0.03762786223563845,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.875,0.8875,0.8375,0.8125,0.825,0.8474999999999999,0.02893959225697556,1
2.7602585792541503,0.27343572627907825,1.3739586353302002,0.06323789158706618,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
2.564909267425537,0.06588314503063393,1.3523393154144288,0.1624447974926407,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
2.6828680992126466,0.24718804571539849,1.2685595989227294,0.1289881236431976,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
2.8061739921569826,0.19725286534625436,0.5971210956573486,0.07615226536148087,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.197745847702026,0.19749355547937705,0.5993317127227783,0.0853048907992028,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.353816843032837,0.14289845180087346,0.6234853744506836,0.03658620592427757,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.078804779052734,0.1250224299641271,0.6370179176330566,0.10036535634345464,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.040617847442627,0.08391824043378679,0.6603155612945557,0.07262662832048912,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
2.9795673847198487,0.23561630283986956,0.6734735488891601,0.04264238324454606,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
1.721048927307129,0.205735223544234,0.5515599727630616,0.048331928042133564,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
1.6329113960266113,0.06076746617748102,0.5384480953216553,0.06317527904039143,0.01,linear,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
1.511415958404541,0.0733453950743396,0.5375519752502441,0.023771513696525304,0.01,linear,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
3.0235445499420166,0.12590639414047722,0.9947502136230468,0.17550398981689605,0.01,rbf,0.001,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.2740607261657715,0.1688287002985188,0.9505351543426513,0.13111702895932426,0.01,rbf,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.263664197921753,0.09817362598740903,1.0291240215301514,0.09507327163560148,0.01,rbf,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.0823602199554445,0.20236529750058052,0.6159694194793701,0.11322451761085332,0.01,poly,0.001,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.231944465637207,0.13090608556301805,0.6438802242279053,0.047363035845049715,0.01,poly,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.4172693252563477,0.07916971247621399,0.6388066291809082,0.023585341349598544,0.01,poly,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.0775585174560547,0.1730030926564318,0.6528110027313232,0.052627767704033136,0.01,sigmoid,0.001,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.0641980171203613,0.19605101806869732,0.6597892284393311,0.05406758190222436,0.01,sigmoid,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.0976372718811036,0.1889167373762904,0.6218517780303955,0.048490462492746744,0.01,sigmoid,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
1.772287130355835,0.08616583117703136,0.5271961688995361,0.04622857600743672,0.1,linear,0.001,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 0.001}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
1.5824031829833984,0.13182079362835275,0.5100930213928223,0.04828713378188898,0.1,linear,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
1.6304815292358399,0.06483019659248952,0.4585907459259033,0.07291802255618508,0.1,linear,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",0.875,0.8875,0.8375,0.8125,0.8125,0.845,0.031224989991991976,4
3.1964221000671387,0.0716361464355188,0.9539800643920898,0.09663881040895927,0.1,rbf,0.001,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.361489248275757,0.2067414248911411,0.9299163341522216,0.07715874482224391,0.1,rbf,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.200406551361084,0.26180135718216924,1.0645824909210204,0.1238326917426116,0.1,rbf,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
2.914487934112549,0.2580677617906982,0.6183660984039306,0.10413896728548365,0.1,poly,0.001,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
3.440003204345703,0.13747685727831493,0.7044933795928955,0.03200208181713125,0.1,poly,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.45,0.45,0.45,0.45,0.45,0.45,0.0,16
