mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32.56436729431152,0.3211359686352193,0.0812388261159261,0.0005399101012292357,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.344,0.424,0.304,0.35733333333333334,0.049888765156985884,6
36.84094127019247,0.08359401281549299,0.09907285372416179,0.0019480582549384789,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.36,0.416,0.328,0.36800000000000005,0.036368484525295605,2
40.79388483365377,0.21440290575908774,0.10847806930541992,0.007066811916285208,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.32,0.36,0.36,0.3466666666666667,0.018856180831641256,9
0.043219804763793945,0.0024316687672484767,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
34.65716107686361,0.130549283221235,0.08704741795857747,0.0033298802488003973,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.36,0.416,0.312,0.3626666666666667,0.04249967320135793,5
39.66241963704427,0.35616249195613225,0.09623527526855469,0.002452264167140284,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.392,0.4,0.304,0.36533333333333334,0.04349201714746692,4
44.382102727890015,0.7452507558540704,0.1041566530863444,0.006174296662937643,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.344,0.384,0.328,0.35200000000000004,0.02355136231020759,8
0.049542506535847984,0.001924958065509171,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
36.933345238367714,0.14025087323600072,0.0837720235188802,0.002864919031815511,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",0.344,0.432,0.296,0.35733333333333334,0.05631656555184767,6
43.453389724095665,0.031199120500712264,0.08857941627502441,0.0021330645352843633,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",0.392,0.416,0.328,0.3786666666666667,0.03714236873915764,1
49.25606369972229,0.3996117658285958,0.0900117556254069,0.0007844188732905777,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",0.36,0.416,0.328,0.36800000000000005,0.036368484525295605,2
0.04734269777933756,0.002378500329224633,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
