mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.837039868036906,0.12115791815437298,0.06936899820963542,0.007689182768050125,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.8571428571428571,0.42857142857142855,0.5,0.5952380952380952,0.18747637795266214,3
5.363391796747844,0.05352243933759144,0.07570672035217285,0.0010512459060909012,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.42857142857142855,0.14285714285714285,0.5,0.35714285714285715,0.1543033499620919,9
5.763092438379924,0.15831011977833043,0.08290799458821614,0.002751227033487459,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.5714285714285714,0.2857142857142857,0.5,0.4523809523809524,0.12140522651411392,7
0.044114112854003906,0.0034807920435519367,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
4.981512467066447,0.06463953931463336,0.06978956858317058,0.004985318716486154,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.8571428571428571,0.42857142857142855,0.3333333333333333,0.5396825396825397,0.22782063641916386,6
5.598637024561564,0.019244784958398247,0.07605846722920735,0.00036428789853409395,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.42857142857142855,0.5714285714285714,0.8333333333333334,0.6111111111111112,0.16760882604716573,2
5.995225350062053,0.07094505348021261,0.08007971445719402,0.0011087615000081746,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.5714285714285714,0.7142857142857143,1.0,0.7619047619047619,0.17817416127494962,1
0.04863548278808594,0.0026876126288483525,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
5.149894793828328,0.087319809147915,0.07173776626586914,0.00775444536095924,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",0.8571428571428571,0.2857142857142857,0.5,0.5476190476190476,0.2357022603955158,5
5.431352774302165,0.059161849494996505,0.07767041524251302,0.00571249101292194,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",0.42857142857142855,0.5714285714285714,0.3333333333333333,0.4444444444444444,0.09784784131696787,8
5.764222621917725,0.07350590141551178,0.07439208030700684,0.0014330959814767349,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",0.2857142857142857,0.5714285714285714,0.8333333333333334,0.5634920634920635,0.22363496513659323,4
0.04245551427205404,0.0013857911455276806,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
