mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3483413219451904,0.0203010468691676,0.17218413352966308,0.024134091667583235,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3328394412994385,0.013804179472018922,0.16137547492980958,0.02850084903694053,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.31341938972473143,0.03320528548043545,0.1601344585418701,0.024949437894417562,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3921203136444092,0.04137067354563854,0.1824268341064453,0.021712705318736765,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.38120880126953127,0.047194487047510114,0.2219217300415039,0.051655074790824866,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3497739791870117,0.014256304810132004,0.19765348434448243,0.027384678097823738,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3865502834320068,0.07160362741041627,0.1706784725189209,0.04242234607060574,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.37039599418640134,0.052561901161553015,0.16736111640930176,0.018246589116338655,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.38161892890930177,0.025397499739726694,0.19941000938415526,0.0436627089714314,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.35851573944091797,0.034185666814313946,0.17239322662353515,0.03743714379849111,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.39476308822631834,0.05853653077459287,0.14835052490234374,0.025475083925592695,0.001,sigmoid,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3800145149230957,0.051992817217558246,0.19740657806396483,0.029423229157252304,0.001,sigmoid,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.30827746391296384,0.044880903009988024,0.1611424446105957,0.042367081399079624,0.01,linear,0.001,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3129382610321045,0.029572460087497067,0.17435822486877442,0.05217410817150344,0.01,linear,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3168770790100098,0.013574660294409091,0.15171656608581544,0.018682953170239967,0.01,linear,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3829975128173828,0.03185408189435436,0.18422489166259765,0.04925017896641882,0.01,rbf,0.001,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3879516124725342,0.0370497950657637,0.17825918197631835,0.02552313208347212,0.01,rbf,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.40392889976501467,0.07107708197023817,0.20811777114868163,0.015082240135410653,0.01,rbf,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.37453999519348147,0.06483903038409188,0.1633838653564453,0.05196976931957003,0.01,poly,0.001,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.37833991050720217,0.0409306752499157,0.1641674041748047,0.03657529983306982,0.01,poly,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3780368804931641,0.031418469730428875,0.17005324363708496,0.011911999588279308,0.01,poly,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.4007084846496582,0.07130648520129385,0.15939717292785643,0.02402073074380928,0.01,sigmoid,0.001,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.372302770614624,0.044186819105975356,0.15745110511779786,0.02574094437411203,0.01,sigmoid,1e-05,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.37425990104675294,0.06352671857757233,0.15360898971557618,0.03959598679018539,0.01,sigmoid,1e-06,"{'svc__C': 0.01, 'svc__kernel': 'sigmoid', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3399437427520752,0.054797642777101564,0.1461947441101074,0.04409417206880509,0.1,linear,0.001,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.34738831520080565,0.03171784264649976,0.15173864364624023,0.033665128042970845,0.1,linear,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.3052684783935547,0.05648071574038948,0.15061135292053224,0.045648101965893334,0.1,linear,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.40692996978759766,0.021649142404596894,0.21088833808898927,0.019633363466738656,0.1,rbf,0.001,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.37368264198303225,0.02880638649905364,0.20078072547912598,0.03909120897985346,0.1,rbf,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.40041747093200686,0.051452813855689436,0.17827281951904297,0.050520666284966376,0.1,rbf,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.45635280609130857,0.0627735797573815,0.14829492568969727,0.030710997663673995,0.1,poly,0.001,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.4208997249603271,0.02943605629647851,0.1447019100189209,0.026283601651512924,0.1,poly,1e-05,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.3924107551574707,0.028686477935817068,0.1594982624053955,0.026223604312241744,0.1,poly,1e-06,"{'svc__C': 0.1, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
0.39940681457519533,0.04418462955977318,0.16583600044250488,0.03844293663382746,0.1,sigmoid,0.001,"{'svc__C': 0.1, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.3,0.3,0.35,0.3,0.3,0.31,0.019999999999999997,13
