mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__kernel,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7938423156738281,0.2341519461171214,0.4597615718841553,0.04482853610331936,0.001,linear,0.001,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.9083847045898437,0.21590480781586444,0.4847878456115723,0.04687093039688627,0.001,linear,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.5248612880706787,0.07942131813205841,0.43378353118896484,0.02117574799448967,0.001,linear,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 1e-06}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
7.068095445632935,0.6401449148392145,1.3213972091674804,0.057534070245599055,0.001,rbf,0.001,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
5.273348379135132,0.2642630771985405,1.135020923614502,0.03460456411545596,0.001,rbf,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-05}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
5.226631164550781,0.225885502538212,1.1476377487182616,0.045729218749731154,0.001,rbf,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 1e-06}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
7.026832866668701,0.6676734837400841,1.1515273571014404,0.12332919120017605,0.001,poly,0.001,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
5.261898469924927,0.27536625197332504,0.8865195751190186,0.04662285327525104,0.001,poly,1e-05,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-05}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
7.175556373596192,0.6764578112862952,1.207082748413086,0.11005998946555728,0.001,poly,1e-06,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 1e-06}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
5.247157430648803,0.2772943432490843,0.8907900810241699,0.05451342630734737,0.001,sigmoid,0.001,"{'svc__C': 0.001, 'svc__kernel': 'sigmoid', 'svc__tol': 0.001}",0.27,0.27,0.27,0.27,0.275,0.271,0.0020000000000000018,16
