mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_kernel_size,param_n_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
72.48104174931844,0.35245163493967613,0.17399311065673828,0.10505367715319643,linear,2,1,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}",0.7692307692307693,0.7090301003344481,0.7416107382550335,0.7399572026067504,0.02460461703280138,3
81.75035127003987,0.491095261306583,0.10582542419433594,0.0026482775368979377,linear,2,2,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}",0.7424749163879598,0.7123745819397993,0.7751677852348994,0.7433390945208861,0.025642499850820743,2
91.09057648976643,0.4017607194258779,0.12012799580891927,0.001081150249675372,linear,2,3,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}",0.725752508361204,0.6789297658862876,0.7046979865771812,0.7031267536082243,0.019147565258628176,9
0.04589160283406576,0.0025404510006063383,0.0,0.0,linear,2,5,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 5}",,,,,,10
78.48854494094849,1.429127512793416,0.10365549723307292,0.002065134392283373,linear,3,1,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}",0.745819397993311,0.7090301003344481,0.7348993288590604,0.7299162757289398,0.015426950863803388,6
87.78969351450603,0.5493139294236363,0.10869296391805013,0.00032081056461784785,linear,3,2,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}",0.7558528428093646,0.705685618729097,0.7550335570469798,0.7388573395284804,0.023458333315111435,4
98.71300276120503,0.6806154518121992,0.12014635403951009,0.00418435132080548,linear,3,3,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}",0.7525083612040134,0.6956521739130435,0.7348993288590604,0.7276866213253724,0.023765154754967804,7
0.05194544792175293,0.0012595064355940325,0.0,0.0,linear,3,5,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 5}",,,,,,10
82.43703492482503,0.9090063859884298,0.1011495590209961,0.006753616257432238,linear,5,1,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}",0.7591973244147158,0.6923076923076923,0.6879194630872483,0.7131414932698853,0.03261562841904304,8
97.87985348701477,0.18068666129716568,0.1020348072052002,0.0014604587418122668,linear,5,2,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}",0.7692307692307693,0.7190635451505016,0.7516778523489933,0.746657388910088,0.020786075192076457,1
111.89167261123657,1.3382276592586997,0.10525751113891602,0.0032363453319918323,linear,5,3,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}",0.7491638795986622,0.7123745819397993,0.7315436241610739,0.7310273618998452,0.015023603664453693,5
0.047858079274495445,0.0017049907025437142,0.0,0.0,linear,5,5,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 5}",,,,,,10
