dataset,acc_train,acc_test,best_params
CBF,0.9666666666666667,0.95,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
Coffee,1.0,0.9642857142857143,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
DistalPhalanxTW,0.7875285227995361,0.6762589928057554,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
ECG5000,0.9520356876608229,0.9413333333333334,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}"
ECGFiveDays,0.9583333333333334,0.9721254355400697,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
FaceAll,0.8876046997489123,0.7674556213017751,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
GunPoint,1.0,0.9933333333333333,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
InsectWingbeatSound,0.5452918672096754,0.556060606060606,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
MiddlePhalanxOutlineCorrect,0.7599999999999999,0.7835051546391752,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
NonInvasiveFetalECGThorax2,0.8805555555555555,0.8519083969465648,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}"
OliveOil,0.8666666666666667,0.8666666666666667,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
Plane,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}"
ProximalPhalanxTW,0.7849848501851643,0.7951219512195122,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 3}"
ShapeletSim,0.7619047619047619,0.8111111111111111,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
Trace,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
TwoPatterns,0.8760167352981724,0.88425,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}"
UWaveGestureLibraryAll,0.9297022887626915,0.9215522054718035,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
UWaveGestureLibraryX,0.792447606862547,0.8023450586264657,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 1}"
UWaveGestureLibraryY,0.7377387712958182,0.6917922948073701,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
UWaveGestureLibraryZ,0.746657388910088,0.7319932998324958,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}"
CinCECGTorso,0.7271062271062272,0.7159420289855073,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
Earthquakes,0.8136610130379601,0.7482014388489209,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
Ham,0.6596596596596597,0.6857142857142857,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
Herring,0.5158730158730158,0.609375,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
MedicalImages,0.6955380577427822,0.7092105263157895,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
Phoneme,0.22443922796035473,0.22784810126582278,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
ScreenType,0.3786666666666667,0.4106666666666667,"{'activation': 'linear', 'kernel_size': 5, 'n_conv_layers': 2}"
WordSynonyms,0.5655430711610486,0.5830721003134797,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
Worms,0.690983606557377,0.6493506493506493,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
