dataset,acc_train,acc_test,best_params
CBF,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Coffee,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
DistalPhalanxTW,0.7999999999999999,0.6834532374100719,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ECG5000,0.952,0.9457777777777778,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ECGFiveDays,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
FaceAll,0.9589285714285716,0.7822485207100591,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
GunPoint,0.9800000000000001,0.9933333333333333,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
InsectWingbeatSound,0.5681818181818181,0.6439393939393939,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
MiddlePhalanxOutlineCorrect,0.8416666666666666,0.8384879725085911,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
NonInvasiveFetalECGThorax2,0.9555555555555555,0.9618320610687023,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
OliveOil,0.9,0.9,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Plane,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ProximalPhalanxTW,0.8425,0.7804878048780488,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ShapeletSim,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Trace,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
TwoPatterns,1.0,0.99975,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryAll,0.9709745499689634,0.972640982691234,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryX,0.839286157666046,0.8450586264656617,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryY,0.8080198634388578,0.7883863763260748,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryZ,0.8169397889509622,0.8070910106085986,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
CinCECGTorso,0.8,0.8456521739130435,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Earthquakes,0.819903846153846,0.7482014388489209,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}"
Ham,0.7718614718614718,0.7142857142857143,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Herring,0.608974358974359,0.59375,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}"
MedicalImages,0.8397812713602187,0.8078947368421052,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Phoneme,0.28914728682170543,0.31329113924050633,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ScreenType,0.4133333333333333,0.36533333333333334,"{'svc__C': 0.001, 'svc__kernel': 'poly', 'svc__tol': 0.001}"
WordSynonyms,0.7228511530398323,0.7037617554858934,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Worms,0.7468468468468468,0.7402597402597403,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
