dataset,acc_train,acc_test,best_params
CBF,1.0,0.9766666666666667,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
Coffee,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
DistalPhalanxTW,0.7650282422474096,0.60431654676259,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
ECG5000,0.9500276555323088,0.9393333333333334,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}"
ECGFiveDays,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
FaceAll,0.919728595250417,0.9047337278106509,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
GunPoint,1.0,0.9933333333333333,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
InsectWingbeatSound,0.48660989756880174,0.5656565656565656,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
MiddlePhalanxOutlineCorrect,0.765,0.8213058419243986,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
NonInvasiveFetalECGThorax2,0.9211111111111111,0.9312977099236641,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
OliveOil,0.6666666666666666,0.8666666666666667,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
Plane,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
ProximalPhalanxTW,0.7999476302697041,0.7951219512195122,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
ShapeletSim,0.8015873015873015,0.5722222222222222,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
Trace,1.0,1.0,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
TwoPatterns,0.999001996007984,0.99925,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
UWaveGestureLibraryAll,0.9419616469514339,0.9503070910106086,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
UWaveGestureLibraryX,0.7969069156696819,0.8129536571747628,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
UWaveGestureLibraryY,0.7377387712958182,0.7079843662758235,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 2}"
UWaveGestureLibraryZ,0.7466686120027234,0.7398101619207147,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}"
CinCECGTorso,0.805860805860806,0.7456521739130435,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
Earthquakes,0.6803969078112381,0.7050359712230215,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 3}"
Ham,0.7334834834834835,0.7047619047619048,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
Herring,0.6414141414141414,0.5625,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
MedicalImages,0.7270341207349081,0.7447368421052631,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 3}"
Phoneme,0.13106416275430358,0.17563291139240506,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
ScreenType,0.43999999999999995,0.4266666666666667,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 2}"
WordSynonyms,0.6629213483146067,0.6489028213166145,"{'activation': 'linear', 'kernel_size': 2, 'n_conv_layers': 1}"
Worms,0.5973588342440801,0.5064935064935064,"{'activation': 'linear', 'kernel_size': 3, 'n_conv_layers': 1}"
