dataset,acc_train,acc_test,best_params
CBF,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Coffee,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
DistalPhalanxTW,0.795,0.6618705035971223,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ECG5000,0.95,0.9457777777777778,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ECGFiveDays,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
FaceAll,0.9732142857142858,0.7970414201183432,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
GunPoint,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
InsectWingbeatSound,0.5772727272727273,0.6373737373737374,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
MiddlePhalanxOutlineCorrect,0.8400000000000001,0.8384879725085911,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
NonInvasiveFetalECGThorax2,0.9555555555555555,0.9582697201017811,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
OliveOil,0.9,0.8666666666666667,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Plane,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ProximalPhalanxTW,0.8474999999999999,0.7902439024390244,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
ShapeletSim,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Trace,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
TwoPatterns,1.0,1.0,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryAll,0.9631781502172563,0.9729201563372417,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryX,0.8326319056486653,0.8419877163595757,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryY,0.7890440720049658,0.7805695142378559,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
UWaveGestureLibraryZ,0.783463687150838,0.7953657174762703,"{'svc__C': 0.01, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
CinCECGTorso,0.75,0.85,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Earthquakes,0.819903846153846,0.7482014388489209,"{'svc__C': 0.001, 'svc__kernel': 'rbf', 'svc__tol': 0.001}"
Ham,0.8073593073593074,0.7428571428571429,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Herring,0.6564102564102563,0.609375,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
MedicalImages,0.8189336978810662,0.8131578947368421,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Phoneme,0.2944629014396456,0.2979957805907173,"{'svc__C': 1, 'svc__kernel': 'poly', 'svc__tol': 0.001}"
ScreenType,0.43466666666666665,0.496,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
WordSynonyms,0.7191474493361286,0.7115987460815048,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
Worms,0.713963963963964,0.7012987012987013,"{'svc__C': 0.001, 'svc__kernel': 'linear', 'svc__tol': 0.001}"
